SellerSku,ParentSku,ShopSku,Name,Brand,PrimaryCategory,Price,SpecialPrice,Status,Stock
2022053101-PIM,2022053101-BKS,121301546,Cobertor de Zapatos Impermeable,GENERICO,Productos para el cuidado|la limpieza del calzado,4590.00,,active,0
2022053101-PIS,2022053101-BKS,121301545,Cobertor de Zapatos Impermeable,GENERICO,Productos para el cuidado|la limpieza del calzado,4590.00,,active,15
2022053105-BK,2022053105-BK,121301701,Difusor de Aceite Ultrasónico,GENERICO,Difusores de aceites eléctricos,18990.00,,inactive,0
2022020905-BKW,2022020905-BKW,121376938,Lonchera Tela Oxford Tipo Cartera,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,6690.00,,active,0
2022020905-LE,2022020905-LE,121377008,Lonchera Tela Oxford Tipo Cartera,GATON,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,6690.00,,active,0
2022053102-BK,2022053102-BK,121377603,Fisher-Price Infant Juguete para Bebés Maracas de Animalitos,GENERICO,Cunas|moisés|canastos portátiles,46990.00,,inactive,0
2022053102-GY,2022053102-BK,121377602,Fisher-Price Infant Juguete para Bebés Maracas de Animalitos,GENERICO,Cunas|moisés|canastos portátiles,35790.00,,active,0
2022053102-NB,2022053102-BK,121377601,Fisher-Price Infant Juguete para Bebés Maracas de Animalitos,GENERICO,Cunas|moisés|canastos portátiles,35790.00,19686.00,active,4
2022053102-TQ,2022053102-BK,121377599,Fisher-Price Infant Juguete para Bebés Maracas de Animalitos,GENERICO,Cunas|moisés|canastos portátiles,46990.00,,active,0
2022053104-BU,2022053104-BU,121378525,Paraguas con Diseños Para Niños,GENERICO,Paraguas personal,8990.00,,inactive,0
2022053104-DU,2022053104-BU,121378524,Paraguas con Diseños Para Niños,GENERICO,Paraguas personal,8990.00,,inactive,0
2022053104-FR,2022053104-BU,121378523,Paraguas con Diseños Para Niños,GENERICO,Paraguas personal,8990.00,,inactive,0
2022053104-MO,2022053104-BU,121378522,Paraguas con Diseños Para Niños,GENERICO,Paraguas personal,8990.00,,inactive,0
20201016-WH,20201016-WH,121378787,Tendedero de Ropa Plegable con Ruedas,GATON,Otros productos de lavandería,23990.00,,inactive,0
